"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"1584","Fairfax Electric Co.","Maryland","19-065",NA,NA,NA,NA
"1585","The Maryland Light and Power","Maryland","19-077","2280986","522082","7611","3658800"
"1586","Pennsylvania Water & Power","Maryland","19-091","32537621",NA,NA,NA
"1587","The Potomac Edison Company","Maryland","19-105","19285919","4720780","43619","18657467"
"1588","Potomac Electric Power Company","Maryland","19-112",NA,NA,NA,NA
"1589","The Potomac Transmission","Maryland","19-119","1125083","151662",NA,NA
"1590","Safe Harbor Water Power","Maryland","19-133","30013194",NA,NA,NA
"1591","Stockton Electric, Ice & Powei","Maryland","19-140","90369",NA,NA,NA
"1592","The Susquehanna Electric","Maryland","19-147","833","46189","2",NA
"1593","The Susquehanna Power","Maryland","19-154","47963932",NA,NA,NA
"1594","Susquehanna Transmission Com","Maryland","19-161","5524481","522101",NA,NA
"1595","The West Maryland Power","Maryland","19-175","290822","78068","1221","2368560"
"1596","Youghiogheny Hydro-Electric","Maryland","19-182","9864512","39812","1",NA
"1597","Consolidation Coal Co.","Maryland","19-225",NA,NA,NA,NA
"1598","W. J. Dickey & Sons, Inc.","Maryland","19-237",NA,"2612","1",NA
"1599","The Kelly Springfield Tire","Maryland","19-279",NA,NA,NA,NA
"1600","North American Cement","Maryland","19-300",NA,NA,NA,NA
"1601","Savage Manufacturing Co.","Maryland","19-321","43203","1800","78",NA
"1602","West Virginia Pulp & Paper Co.","Maryland","19-340",NA,NA,NA,NA
"1603","""•Berlin Electric Department","Maryland","19-510","114520","25737","046",NA
"1604","""Centreville Electric Plant","Maryland","19-531",NA,"60201","873",NA
"1605","*Easton Utilities Commission","Maryland","19-552","436418","111302","1871",NA
"1606","'Corporation of Frederick","Maryland","19-573","112000",NA,NA,NA
"1607","*Hagerstown Municipal Electric","Maryland","19-594","1815348",NA,"8268",NA
"1608","*Saint Michaels Utilities","Maryland","19-615","67949","36447","735","795000"
"1609","*Thurmont Municipal Light Co.","Maryland","19-636",NA,NA,NA,NA
"1610","*Williamsport Electric Light","Maryland","19-657","47418","22887","600",NA
"1611","""Choptank Cooperative, Inc.","Maryland","19-815","310273","17402","665",NA
"1612","Amesbury Electric Light Company","Massachusetts","20-013","999283","327033","3815","8883742"
"1613","Athol Gas and Electric Company","Massachusetts","20-015","934013","463152","5304","16909082"
"1614","Attleboro Steam and Electric","Massachusetts","20-017","1809180","719784","9224","28448978"
"1615","Beverly Gas and Electric Company","Massachusetts","20-019","1907874","856756","9363","15146573"
"1616","Boston Consolidated Gas Company","Massachusetts","20-022","1204392","558488","6812","22653520"
"1617","Boston Edison Company","Massachusetts","20-023","165554799","35676852","412510","188054739"
"1618","Brockton Edison Company","Massachusetts","20-024","9592930","2973239","42829","108894095"
"1619","Cambridge Electric Light Company","Massachusetts","20-025","8185054","2993507","35108","34216440"
"1620","Cape & Vineyard Electric Company","Massachusetts","20-026","5025451",NA,"15165","23435920"
"1621","Central Massachusetts Electric","Massachusetts","20-028","2617050",NA,"12295","24731241"
"1622","Eastern Massachusetts Electric","Massachusetts","20-035","3026740","2373403",NA,"204802"
"1623","Fall River Electric Light Company","Massachusetts","20-044","8930038","3054718",NA,"166474877"
"1624","Fitchburg' Gas and Electric Light","Massachusetts","20-046","3448155","1753","14528","324578"
"1625","Gardner Electric Light Company","Massachusetts","20-050","1858414","739503","8541","24523855"
"1626","Gloucester Electric Company","Massachusetts","20-052","2051623","720450","9911","17679001"
"1627","Haverhill Electric Company","Massachusetts","20-055","5671463","1620832","20738","10182000"
"1628","Holyoke Power and Electric","Massachusetts","20-057","63505","124525","8","9294760"
"1629","Holyoke Water Power Company","Massachusetts","20-059","4189556",NA,NA,"53470"
"1630","Huntington Electric Light Co.","Massachusetts","20-061","110000","29288","478","625200"
"1631","Lawrence Gas and Electric","Massachusetts","20-063","7250830","2318059","37616","69380399"
"1632","Leominster Electric Light and","Massachusetts","20-066","965180","540517","6439","20138000"
"1633","The Lowell Electric Light","Massachusetts","20-068","9221508","2422035",NA,"32640559"
"1634","Lynn Gas and Electric Company","Massachusetts","20-072","10741145","2722390","40373","2582300"
"1635","Maiden Electric Company","Massachusetts","20-074","9437541","3647390","53297","122278182"
"1636","Manchester Electric Company","Massachusetts","20-077","352215","86995","1134","1548560"
"1637","Middlesex County Electric","Massachusetts","20-081","402365","169604","1810","6169317"
"1638","Milford Electric Light and Power","Massachusetts","20-083","858685","334676","5218","8864983"
"1639","Montaup Electric Company","Massachusetts","20-085","13774249","2095252","4","6916505"
"1640","Nantucket Gas & Electric","Massachusetts","20-090","451873","130962","1126",NA
"1641","New Bedford Gas and","Massachusetts","20-092","14048503","3628251","44222",NA
"1642","New England Power Company","Massachusetts","20-096","45385992","12703030",NA,"109984132"
"1643","Northampton Electric Lighting","Massachusetts","20-099","116793","576501","7341","19095290"
"1644","Northern Berkshire Gas","Massachusetts","20-101","1781279","841566","12811","28898620"
"1645","Norton Power & Electric","Massachusetts","20-103","17027","82783","847","3441893"
"1646","Pittsfield Electric Company","Massachusetts","20-105","5364564",NA,NA,"1943274"
"1647","Plymouth County Electric","Massachusetts","20-106","2686237","906790","14363","25235860"
"1648","Provincetown Light and","Massachusetts","20-110","452401","127828","1737","73748"
"1649","Quincy Electric Light and","Massachusetts","20-114","2726168","1697491","22931","66918750"
"1650","Salem Electric Lighting","Massachusetts","20-116","4800213","1620536","12542","5207985"
"1651","Southern Berkshire Power &","Massachusetts","20-121","1801157","467768","6249","11116810"
"1652","The Spencer Gas Company","Massachusetts","20-123","214288","124450","2213","2628763"
"1653","Suburban Gas and Electric","Massachusetts","20-127","2298456","875528","14861","20066026"
"1654","Turners Falls Power &","Massachusetts","20-129","16922472","4198081","51","184905163"
"1655","Union Light & Power Company","Massachusetts","20-132","1505264","648024","5500","23938955"
"1656","United Electric Light Company","Massachusetts","20-134","17760000","4763077","56705","112259040"
"1657","Wachusett Electric Company","Massachusetts","20-136","81473","453510","5976","13621073"
"1658","Western Hancock Electric Com","Massachusetts","20-140","5054","1799","41","36580"
"1659","Western Massachusetts Electric","Massachusetts","20-145","8382547","1545623","19162","33137832"
"1660","Weymouth Light and Power","Massachusetts","20-147","2152496","779201",NA,"24486004"
"1661","Winchendon Electric Light and","Massachusetts","20-149","406287","143013","1730","3536184"
"1662","Worcester County Electric","Massachusetts","20-150","14246157","5412215","71143","78586163"
"1663","Worcester Suburban Electric","Massachusetts","20-153","3870163","1638619","22715","52583208"
"1664","The Barre Wool Combing","Massachusetts","20-223",NA,"9534","237",NA
"1665","Lake May Power Company","Massachusetts","20-311",NA,"10131",NA,NA
"1666","Monument Mills","Massachusetts","20-344","325000","6568","1",NA
"1667","Mount Hope Finishing Co.","Massachusetts","20-355","41346","8940","255",NA
"1668","Quaker Building Company","Massachusetts","20-380",NA,"70644","150",NA
"1669","Strathmore Paper Co.","Massachusetts","20-400","24983","12603","201",NA
"1670","*Ashburnham Municipal Light","Massachusetts","20-510","35154","29540","748","794008"
"1671","*Belmont Municipal Light","Massachusetts","20-515","887561","359717","7643","13300800"
"1672","*Blandford Electric Light Depart","Massachusetts","20-521","19960","8652","215","161190"
"1673","*Boylston Lighting Department","Massachusetts","20-526","50794","17408","375","479810"
"1674","*Braintree Electric Light","Massachusetts","20-532",NA,"389888","410","655416"
"1675","""Town of Brookline","Massachusetts","20-537",NA,NA,NA,NA
"1676","•""Chester Municipal Light","Massachusetts","20-543","39331","21413",NA,"726600"
"1677","*Chicopee Electric Light","Massachusetts","20-548","932514","443432","10974","19121000"
"1678","Toncord Municipal Light Plant","Massachusetts","20-559","184084","162160","2000","5509200"
"1679","*Town of Danvers—Municipal","Massachusetts","20-565","277119",NA,"181998","5777476"
"1680","'Georgetown Light Department","Massachusetts","20-570","50140","28307","701","739600"
"1681","*Groton Electric Light","Massachusetts","20-576","121423","42470","859","1301900"
"1682","*Groveland Light Commission","Massachusetts","20-581","75330","25625","702","619978"
"1683","*Hingham Municipal Light","Massachusetts","20-586","2241","136195","2840",NA
"1684","*To\vn of Holden, Municipal Light","Massachusetts","20-592","84051","62647","1276","2052376"
"1685","""Holyoke Gas and Electric","Massachusetts","20-597","2466388","90526","1697","470060"
"1686","""Hudson Light and Power","Massachusetts","20-602","565403","196419","3440",NA
"1687","""Town of Hull Electric Light","Massachusetts","20-608","475575","138973","3526","3486220"
"1688","""Ipswich Water & Light","Massachusetts","20-613","329356","103250","2271",NA
"1689","* Littleton Electric Light","Massachusetts","20-619","167","35632","839",NA
"1690","'Mansfield Municipal Lighting","Massachusetts","20-624","14297","146004","2060","5765534"
"1691","•Marblehead Municipal Light","Massachusetts","20-630","732207","198609",NA,"4115438"
"1692","*Merrimac Light Department","Massachusetts","20-635","50854","38781","986","1059240"
"1693","""Metropolitan District","Massachusetts","20-637","306778","56941","2",NA
"1694","*Middleborough Gas and","Massachusetts","20-641","350651","132049","3525","4993000"
"1695","*M iddleton Electric Light","Massachusetts","20-646","36550","35570","556","980912"
"1696","* North Attleboro Electric","Massachusetts","20-652","155466","175822","3590","5542000"
"1697","*Norwood Municipal Light","Massachusetts","20-657",NA,"261967","4632","10511000"
"1698","""Town of Paxton, Electric","Massachusetts","20-662","57715","23071","290","832800"
"1699","*Peabody Municipal Light Plant","Massachusetts","20-668","203067","376620","6098","3090678"
"1700","""Town of Princeton Municipal","Massachusetts","20-673",NA,NA,NA,NA
"1701","^Reading Municipal Light","Massachusetts","20-679","691216","317591","6511","11365000"
"1702","'Rowley Municipal Lighting","Massachusetts","20-684",NA,"17745","426","417400"
"1703","*Russell Electric Light","Massachusetts","20-690",NA,NA,NA,NA
"1704","*Town of Shrewsbury Municipal","Massachusetts","20-695","198997","128319","2599","4827830"
"1705","*Electric Light Department,","Massachusetts","20-700","175587","110939","2026","4116720"
"1706","'Sterling Municipal Light Plant","Massachusetts","20-706","89985","28793","618","828400"
"1707","""Taunton Municipal Lighting","Massachusetts","20-711","1703121","740768","11747","708000"
"1708","""Templeton Municipal Light","Massachusetts","20-717","88696","49528",NA,"1298040"
"1709","*Wakefield Municipal Light","Massachusetts","20-723",NA,"236668","4803","7876098"
"1710","*Wellesley Electric Light","Massachusetts","20-729","1174205","30279","4863","11378000"
"1711","*West Bojlston Light","Massachusetts","20-734","66640","36002","631","1215600"
"1712","Alpena Power Company","Michigan","21-010","2417897","290351","4356","185700"
"1713","Berrien Gas & Electric Company","Michigan","21-012","43198","16471","287","379869"
"1714","Baraga County Light and Power","Michigan","21-016","669200","65675","181","53250"
"1715","The Cliffs Power & Light Company","Michigan","21-018","8052566","1164422","998","12759000"
"1716","Consumers Power Company","Michigan","21-021","259179006",NA,"459591","174232809"
"1717","Copper District Power Company","Michigan","21-024","4221212","407399","1995",NA
"1718","The Detroit Edison Company","Michigan","21-030","310577568","63406925","688839","10153100"
"1719","Edison Sault Electric Company","Michigan",NA,"2073163","569890","6880","3213400"
"1720","Fife Lake Light Company","Michigan","21-034",NA,NA,NA,NA
"1721","Harmony Electric Company","Michigan","21-039","77526","15165","405","421200"
"1722","Hillmaii Light & Power Co.","Michigan","21-042",NA,NA,NA,NA
"1723","Houghton County Electric Light","Michigan","21-048","2475992","615197",NA,"18901688"
"1724","Hydro-Electric Light & Power ""","Michigan","21-051",NA,NA,NA,NA
"1725","Principal Officer:","Michigan","21-929",NA,"6977","114",NA
"1726","Indiana & Michigan Electric","Michigan","21-054",NA,"2368464","27201",NA
"1727","Iron Range Light and Power","Michigan","21-057","349424","160753","3087","4420900"
"1728","Lake Superior District Power","Michigan","21-060",NA,"844566",NA,NA
"1729","Mr. William Leng","Michigan","21-066",NA,"3600","60","68140"
"1730","The Manistique Light and Power","Michigan","21-075","86258","90878","1852","2282200"
"1731","Mayfield Electric Light Plant","Michigan","21-078",NA,NA,NA,NA
"1732","Menominee and Marinette Light","Michigan","21-081",NA,"276637","3636",NA
"1733","Michigan Gas and Electric","Michigan","21-090","4593218","988382","15485","21888652"
"1734","Michigan Northern Power Com","Michigan","21-093",NA,NA,NA,NA
"1735","Michigan Public Service Company","Michigan","21-096","7906880","1314603",NA,"9478248"
"1736","Onaway Electric Light & Power","Michigan","21-111",NA,NA,NA,NA
"1737","Apr. 3, 1941. Company in process of liquidation.","Michigan","21-929","116219","19118","345",NA
"1738","Rogers City Electric Light &","Michigan","21-120","105654","51404","974","1298670"
"1739","Upper Michigan Power & Light","Michigan","21-129","2312417","246149","1342","787677"
"1740","Vanderbilt Electric Light and","Michigan","21-135","6817","516","100","101370"
"1741","Wisconsin Michigan Power","Michigan","21-138",NA,"953928","10720",NA
"1742","Wolverine Power Corporation","Michigan","21-147","2119098","166932","1",NA
"1743","AI's Service Electric Station","Michigan","21-205",NA,"2800","48",NA
"1744","Bay De Noquet Company","Michigan","21-210","21768","3587","119",NA
"1745","Calumet and Hecla Consolidated","Michigan","21-221","1500000","1860","3",NA
"1746","Central Plant Company","Michigan","21-232",NA,NA,NA,NA
"1747","Denton Sleeping Garment Mills,","Michigan","21-243",NA,NA,NA,NA
"1748","Electrical Inspection and Servicing","Michigan","21-265",NA,NA,NA,NA
"1749","Ford Motor Co.","Michigan","21-287",NA,NA,NA,NA
"1750","Harris Milling Company","Michigan","21-298",NA,NA,NA,NA
"1751","Hayden Fuel and Supply Company","Michigan","21-309",NA,NA,NA,NA
"1752","Hydro-Electric Company","Michigan","21-320",NA,NA,NA,NA
"1753","Macatawa Park Company","Michigan","21-333",NA,NA,NA,NA
"1754","Manistique Pulp and Paper Com","Michigan","21-342",NA,NA,NA,NA
"1755","Michigan Alkali Company","Michigan","21-353",NA,NA,NA,NA
"1756","Michigan Limestone & Chemical","Michigan","21-364",NA,NA,NA,NA
"1757","Penn Iron Mining Company","Michigan","21-397",NA,"5354","1",NA
"1758","Petoskey Portland Cement Co.","Michigan","21-408","350000",NA,"24",NA
"1759","Pointe Aux Barques Land","Michigan","21-410",NA,NA,NA,NA
"1760","*AlIegan Board of Public Works","Michigan","21-510","914240","101231","1367",NA
"1761","•Village of Baraga","Michigan","21-514",NA,NA,NA,NA
"1762","*Bay City Electric Light","Michigan","21-518","1018518","374726","9035","17033300"
"1763","* Village of Bellaire","Michigan","21-522","2e+05","13000","200",NA
"1764","* Village of Bellevue","Michigan","21-526","30000",NA,"350","549100"
"1765","'Bessemer Light Utility","Michigan","21-527",NA,NA,NA,NA
"1766","*Big Rapids Hydro-Electric Plant","Michigan","21-529","46488",NA,"1",NA
"1767","*Blissfield Electric Light and","Michigan","21-531",NA,NA,NA,NA
